CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Mono,<a href='https://drive.google.com/file/d/1ALjgdJhMFgw1RGS_3n-FPjbVue_JBK3P/view?usp=drivesdk' target='_blank'>Mono </a>,County,Mono,CA,2009,0,1,8111.53,"US Census Bureau, 2018 Cartographic Boundary Files"
Monte Vista,<a href='https://drive.google.com/file/d/1rX_4InGY2TBtiXscX4zRGkGJd3xSumrn/view?usp=drivesdk' target='_blank'>Monte Vista </a>,Fire Protection District,Rio Grande,CO,2009,0,1,490.26,Colorado Forest Atlas
Mount Harvard Estates,<a href='https://drive.google.com/file/d/1fNiOM6-jqTyrxH8HX55M7yaho7Z1Fomt/view?usp=drivesdk' target='_blank'>Mount Harvard Estates </a>,Community,Chaffee,CO,2009,0,0,0.42,Colorado Forest Atlas
NE Conejos County,<a href='https://drive.google.com/file/d/1hp3LM7uxs9JsHLhFyR0IN7Ztu5_Tuctr/view?usp=drivesdk' target='_blank'>NE Conejos County </a>,Fire Protection District,Conejos,CO,2009,0,1,245.36,Colorado Forest Atlas
NW Conejos County,<a href='https://drive.google.com/file/d/1VX37V0gsoCcDWrWArd56MNpbsqaYck-2/view?usp=drivesdk' target='_blank'>NW Conejos County </a>,Fire Protection District,Conejos,CO,2009,0,1,403.7,Colorado Forest Atlas
Ohio City,<a href='https://drive.google.com/file/d/1UeiPx_Moik8QXQCzyqm9q5kfcIu7OBH3/view?usp=drivesdk' target='_blank'>Ohio City </a>,Community,Gunnison,CO,2009,0,0,29.14,Colorado Forest Atlas
Orleans/Somes Bar,<a href='https://drive.google.com/file/d/1tBKocBqKcYpF36qU_qDmn6qxH3IBHuUM/view?usp=drivesdk' target='_blank'>Orleans/Somes Bar </a>,Community,"Humboldt, Siskiyou, Del Norte",CA,2009,0,0,1349.8,CWPP
Palo Alto Foothills,<a href='https://drive.google.com/file/d/1tWiy3Z1ui2Pp8788FdM6Fdr1Jj8SeSoX/view?usp=drivesdk' target='_blank'>Palo Alto Foothills </a>,Community,Santa Clara,CA,2009,0,1,80.65,CWPP
Pershing,<a href='https://drive.google.com/file/d/10AYjKvOmLZsuIKyG5yPfnMR8rwG6hdos/view?usp=drivesdk' target='_blank'>Pershing </a>,County,Pershing,NV,2009,1,1,15714.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Pinal,<a href='https://drive.google.com/file/d/1KhIEKrdUn65pt52wUsR5Fz28skgimYDA/view?usp=drivesdk' target='_blank'>Pinal </a>,County,Pinal,AZ,2009,0,1,13919.23,"US Census Bureau, 2018 Cartographic Boundary Files"
Pole Hill Road,<a href='https://drive.google.com/file/d/1MHFGKka_iHvmFwmTQHKk-pawUAqz-tAV/view?usp=drivesdk' target='_blank'>Pole Hill Road </a>,Community,Larimer,CO,2009,0,0,44.4,Colorado Forest Atlas
Polk,<a href='https://drive.google.com/file/d/1kk-KVERb5PZgSlRjWThfvjOaL531Jg_V/view?usp=drivesdk' target='_blank'>Polk </a>,County,Polk,OR,2009,0,1,1927.34,CWPP
Poncha Springs,<a href='https://drive.google.com/file/d/1axKzvBB7H8X2ecNeIy5TkFB3Ynil8PFz/view?usp=drivesdk' target='_blank'>Poncha Springs </a>,Community,Chaffee,CO,2009,0,0,2.31,Colorado Forest Atlas
Ravalli,<a href='https://drive.google.com/file/d/1YRIdztjUUq6CVqsqVPv-pFesPZnwWE7M/view?usp=drivesdk' target='_blank'>Ravalli </a>,County,Ravalli,MT,2009,0,0,6216.98,"US Census Bureau, 2018 Cartographic Boundary Files"
Red Hill Forest,<a href='https://drive.google.com/file/d/189pqenRfd19DHAl23uTqz7rFWaIMjoSW/view?usp=drivesdk' target='_blank'>Red Hill Forest </a>,Community,Park,CO,2009,0,0,23.19,Colorado Forest Atlas
Rist Canyon,<a href='https://drive.google.com/file/d/1ABYMD9_PyTqzM5EisDUTWmOFnT3KW9Ba/view?usp=drivesdk' target='_blank'>Rist Canyon </a>,Fire Protection District,Larimer,CO,2009,0,0,314.83,Colorado Forest Atlas
Riverside,<a href='https://drive.google.com/file/d/1QyIWMBTSwnKTpswgwnoziFGvSj0S7pN2/view?usp=drivesdk' target='_blank'>Riverside </a>,Fire Protection District,Riverside,CA,2009,0,0,7656.67,CWPP
San Juan Ranch Estates Subdivision,<a href='https://drive.google.com/file/d/1QLtx_SNvpbB-O-PqLykfbk77SqLImTdP/view?usp=drivesdk' target='_blank'>San Juan Ranch Estates Subdivision </a>,Community,Hinsdale,CO,2009,0,0,2.74,Colorado Forest Atlas
San Luis Obispo,<a href='https://drive.google.com/file/d/1IM05hLX8Y7tluUdENbA6nJvanb3IucwV/view?usp=drivesdk' target='_blank'>San Luis Obispo </a>,County,San Luis Obispo,CA,2009,0,0,9364.13,"US Census Bureau, 2018 Cartographic Boundary Files"
San Miguel,<a href='https://drive.google.com/file/d/1Ym_Kj3pJVfLbGsWbOAKnaW2MRAHeYSzY/view?usp=drivesdk' target='_blank'>San Miguel </a>,County,San Miguel,CO,2009,0,1,3337.11,Colorado Forest Atlas
Sheridan,<a href='https://drive.google.com/file/d/1xVKMmAoyv-PJWLw0Y9sTSt1z5pe6IC1h/view?usp=drivesdk' target='_blank'>Sheridan </a>,County,Sheridan,WY,2009,1,1,6557.1,"US Census Bureau, 2018 Cartographic Boundary Files"
Sherman,<a href='https://drive.google.com/file/d/1kXygVUIpYXt88MQhJ8VBP5K_33uobzDQ/view?usp=drivesdk' target='_blank'>Sherman </a>,County,Sherman,OR,2009,0,1,2152.9,CWPP
Sitgreaves National Forest,<a href='https://drive.google.com/file/d/1MlPocIkOocCH8inSih2sd0lHadIgAaq_/view?usp=drivesdk' target='_blank'>Sitgreaves National Forest</a>,Community,"Apache, Coconino, Navajo",AZ,2009,1,0,1319.47,CWPP
Skagit,<a href='https://drive.google.com/file/d/1TIzQsl1v-dJRAFshN2UgVVvuloPdROHj/view?usp=drivesdk' target='_blank'>Skagit </a>,County,Skagit,WA,2009,0,0,4963.18,"US Census Bureau, 2018 Cartographic Boundary Files"
South Conejos County,<a href='https://drive.google.com/file/d/1vAUyngrOuK__MidDCXQXaq4JsHM9bVXA/view?usp=drivesdk' target='_blank'>South Conejos County </a>,Fire Protection District,Conejos,CO,2009,0,1,503.43,Colorado Forest Atlas
South Metro,<a href='https://drive.google.com/file/d/14a7T7_hwhqAyWNvPVw4fXUnPYZQj07yp/view?usp=drivesdk' target='_blank'>South Metro </a>,Fire Protection District,Douglas,CO,2009,0,1,479.59,Colorado Forest Atlas
Southwest San Diego,<a href='https://drive.google.com/file/d/11ZphK_Ojf8n2zxxoetzXv5MhomqWn9KS/view?usp=drivesdk' target='_blank'>Southwest San Diego </a>,County,San Diego,CA,2009,0,0,338.38,CWPP
Spokane,<a href='https://drive.google.com/file/d/1ZmjKOBaXnmY7NHHg-HWwmlq-kkhprD7p/view?usp=drivesdk' target='_blank'>Spokane </a>,County,Spokane,WA,2009,0,1,4618.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Star Mountain Ranch,<a href='https://drive.google.com/file/d/1tuc1j0jIDUrUKetvOZwH-FQ6bnHYkopI/view?usp=drivesdk' target='_blank'>Star Mountain Ranch </a>,Community,Gunnison,CO,2009,0,0,6.66,Colorado Forest Atlas
Storey,<a href='https://drive.google.com/file/d/1aQXaJV4aoNnqlgRgFnWnipAtqe1EjyuN/view?usp=drivesdk' target='_blank'>Storey </a>,County,Storey,NV,2009,1,1,683.73,"US Census Bureau, 2018 Cartographic Boundary Files"
Taos Pueblo,<a href='https://drive.google.com/file/d/1hNYo2tXiC0YoVT9psSMH4ViAXI1xm9-o/view?usp=drivesdk' target='_blank'>Taos Pueblo </a>,Community,Taos,NM,2009,0,0,1.83,CWPP
Teton,<a href='https://drive.google.com/file/d/1wBfZFkUjqT2l6PRP4M5WcBHCvKvtL_Zo/view?usp=drivesdk' target='_blank'>Teton</a>,County,Teton,ID,2009,1,0,1166.56,"US Census Bureau, 2018 Cartographic Boundary Files"
Tuolumne - Calaveras,<a href='https://drive.google.com/file/d/1QVPKh7NhfDrG44HOXHrpYquHH076pxmi/view?usp=drivesdk' target='_blank'>Tuolumne - Calaveras </a>,Fire Protection District,"Tuolumne, Calaveras",CA,2009,0,0,7474.15,CWPP
Twin Falls,<a href='https://drive.google.com/file/d/1cDv01cpwagS5AkIT7ptp5ARvWpXduFNB/view?usp=drivesdk' target='_blank'>Twin Falls </a>,County,Twin Falls,ID,2009,1,0,4993.9,"US Census Bureau, 2018 Cartographic Boundary Files"
Valley,<a href='https://drive.google.com/file/d/1pGxQTn97W9Dfq6QPjSSdmR0bx0dRoO44/view?usp=drivesdk' target='_blank'>Valley</a>,County,Valley,ID,2009,1,0,9669.02,"US Census Bureau, 2018 Cartographic Boundary Files"
Washoe,<a href='https://drive.google.com/file/d/1xUsAbqZ4mHy8SgtGpdp8VxmEMfHk9Mv1/view?usp=drivesdk' target='_blank'>Washoe </a>,County,Washoe,NV,2009,1,1,16964.07,"US Census Bureau, 2018 Cartographic Boundary Files"
White Pine,<a href='https://drive.google.com/file/d/1ReIt2u252s-wshf_9GghmDUOsRgnA-U0/view?usp=drivesdk' target='_blank'>White Pine </a>,County,White Pine,NV,2009,1,1,23041.8,"US Census Bureau, 2018 Cartographic Boundary Files"
Wilderness Streams,<a href='https://drive.google.com/file/d/1S6ygqCZmQ0kNC0q-LI9FnnqcFNzJgcxc/view?usp=drivesdk' target='_blank'>Wilderness Streams </a>,Community,Gunnison,CO,2009,0,0,7.68,Colorado Forest Atlas
Woodrock Property Owners Association,<a href='https://drive.google.com/file/d/14yBk8Iwl2I3FEPKKaH4PvZ3qV-kZevYq/view?usp=drivesdk' target='_blank'>Woodrock Property Owners Association </a>,Community,Teller,CO,2009,0,0,6.91,Colorado Forest Atlas
Yamhill,<a href='https://drive.google.com/file/d/1iC0cTNQoDK9UhEGFRK8xuBgBk-v7hZ5o/view?usp=drivesdk' target='_blank'>Yamhill </a>,County,Yamhill,OR,2009,0,1,1860.68,Oregon Spatial Data Library
Archuleta,<a href='https://drive.google.com/file/d/1ZqpX3ujIo_NzVBog3uKgcJai-TLMQ0_6/view?usp=drivesdk' target='_blank'>Archuleta </a>,County,Archuleta,CO,2008,0,0,3510.79,Colorado Forest Atlas
Arrowhead,<a href='https://drive.google.com/file/d/1Kwt8tOIn8zfrcfStJDb-MS1-JsReXrOO/view?usp=drivesdk' target='_blank'>Arrowhead </a>,Community,Eagle,CO,2008,0,1,1346.16,Colorado Forest Atlas
Asotin,<a href='https://drive.google.com/file/d/1I_7wnuTDwcAjBwOcsgAFEHatfQc6buNa/view?usp=drivesdk' target='_blank'>Asotin </a>,County,Astoin,WA,2008,0,1,1658.54,"US Census Bureau, 2018 Cartographic Boundary Files"
Bachelor Gulch,<a href='https://drive.google.com/file/d/14eMGKfJqLny_0z1qNjKvwRdfrbXEHKPH/view?usp=drivesdk' target='_blank'>Bachelor Gulch </a>,Community,Eagle,CO,2008,0,1,5.15,Colorado Forest Atlas
Beacon Rock,<a href='https://drive.google.com/file/d/1nXO6ARMQpAaAOSdXj9sSspjNCldAgotn/view?usp=drivesdk' target='_blank'>Beacon Rock </a>,Community,Skamania,WA,2008,0,0,162.08,CWPP
Benewah,<a href='https://drive.google.com/file/d/1XLhB2TB6irOJjYoG1n-VVP3M1cf6WyVS/view?usp=drivesdk' target='_blank'>Benewah</a>,County,Benewah,ID,2008,0,0,2031.11,"US Census Bureau, 2018 Cartographic Boundary Files"
Bluff,<a href='https://drive.google.com/file/d/1mHMwDypyfnqoxZYTxtGkfLbnGSs8nsfF/view?usp=drivesdk' target='_blank'>Bluff</a>,Community,San Juan,UT,2008,0,0,99.92,CWPP
Bonner,<a href='https://drive.google.com/file/d/1T4ZUxQi7vwvEk2Th-1mtROdwvhr-T1vo/view?usp=drivesdk' target='_blank'>Bonner</a>,County,Bonner,ID,2008,1,1,4967.49,"US Census Bureau, 2018 Cartographic Boundary Files"
Burning Mountain,<a href='https://drive.google.com/file/d/1scvmhT-V2HXU1dVXBvgWdRr-hhYqVjKY/view?usp=drivesdk' target='_blank'>Burning Mountain </a>,Fire Protection District,Garfield,CO,2008,0,0,989.37,Colorado Forest Atlas
Burning Tree Ranch,<a href='https://drive.google.com/file/d/1fHqFaDdImJpJZn-yZwfJ4-ALUwZW6bRH/view?usp=drivesdk' target='_blank'>Burning Tree Ranch </a>,Community,Douglas,CO,2008,0,0,1.69,Colorado Forest Atlas
Butte,<a href='https://drive.google.com/file/d/1MuybWK0veeW7NLgb-IFlAQTNIF087nzF/view?usp=drivesdk' target='_blank'>Butte </a>,County,Butte,CA,2008,1,0,5798,"US Census Bureau, 2018 Cartographic Boundary Files"
Cameron Park,<a href='https://drive.google.com/file/d/1eWLUPkqJAFfw_E_1wqueUntlOTAg962a/view?usp=drivesdk' target='_blank'>Cameron Park </a>,Community,El Dorado,CA,2008,0,0,28.94,"US Census Bureau, 2016 TIGER Place"
Carson City,<a href='https://drive.google.com/file/d/1du10kIbpWbg0OD_cmYAtTyywFZokVbqC/view?usp=drivesdk' target='_blank'>Carson City </a>,Community,Ormsby,NV,2008,1,1,410.62,CWPP
Cascade,<a href='https://drive.google.com/file/d/1o6K9MRtBgagr1O-0oSqOqgf9KO6-EWuh/view?usp=drivesdk' target='_blank'>Cascade </a>,County,Cascade,MT,2008,0,1,7022.83,"US Census Bureau, 2018 Cartographic Boundary Files"
Center,<a href='https://drive.google.com/file/d/1wwmHHi9NUMwD9GXXXTQtV-1Fqrc33hQr/view?usp=drivesdk' target='_blank'>Center </a>,Fire Protection District,Saguache,CO,2008,0,1,532.98,Colorado Forest Atlas
Cimarron Watershed,<a href='https://drive.google.com/file/d/1KcJ88UjOx5nUzUVuqeu_uB-XyRiFHL0H/view?usp=drivesdk' target='_blank'>Cimarron Watershed </a>,Community,Colfax,NM,2008,0,1,8.02,CWPP
Clark,<a href='https://drive.google.com/file/d/1Ogm5ig5Kg311y7C5Tc2ed1-2rlAdP1CZ/view?usp=drivesdk' target='_blank'>Clark </a>,County,Clark,NV,2008,1,1,4569.63,"US Census Bureau, 2018 Cartographic Boundary Files"
Clatsop,<a href='https://drive.google.com/file/d/1EKXqn6iVHWH3scbS5FSU-6xDbj9tZ54a/view?usp=drivesdk' target='_blank'>Clatsop </a>,County,Clatsop,OR,2008,0,0,2426.15,CWPP
Claunch-Pinto,<a href='https://drive.google.com/file/d/1BaSwxl0m-khdfCGng1XkOSicN0RYHw1_/view?usp=drivesdk' target='_blank'>Claunch-Pinto </a>,Community,"Lincoln, Socorro",NM,2008,0,1,5303.9,CWPP
Clear Creek,<a href='https://drive.google.com/file/d/1b90hHiLqzVHe192IeMfQrdIMr2gVRHnr/view?usp=drivesdk' target='_blank'>Clear Creek </a>,County,Clear Creek,CO,2008,0,1,12.76,Colorado Forest Atlas
Coal Creek Canyon,<a href='https://drive.google.com/file/d/14sLVnfaZKQiaAce-DBkA-FYwyY7TLGGz/view?usp=drivesdk' target='_blank'>Coal Creek Canyon </a>,Fire Protection District,Jefferson,CO,2008,0,1,120.13,Colorado Forest Atlas
Colfax,<a href='https://drive.google.com/file/d/1nmbIQDGV9wFO0qhM--fxS0fd_XTAbMbw/view?usp=drivesdk' target='_blank'>Colfax </a>,County,Colfax,NM,2008,0,1,9759.44,"US Census Bureau, 2018 Cartographic Boundary Files"
Columbia,<a href='https://drive.google.com/file/d/1TSc5uzfYIQOB4Ir6gYoAMbj99scS4_qk/view?usp=drivesdk' target='_blank'>Columbia </a>,County,Columbia,WA,2008,0,1,1783.11,"US Census Bureau, 2018 Cartographic Boundary Files"
Costilla,<a href='https://drive.google.com/file/d/1sil66N1bvO5zN1rHeH8MhZNOZzSGhsUP/view?usp=drivesdk' target='_blank'>Costilla </a>,County,Costilla,CO,2008,0,1,3092.44,Colorado Forest Atlas
Croy,<a href='https://drive.google.com/file/d/1Q7x1gtYMX6TTVV6w7kHdAxV30QVfQlsc/view?usp=drivesdk' target='_blank'>Croy </a>,Community,Santa Clara,CA,2008,0,1,122.27,CWPP
Crystal Lakes,<a href='https://drive.google.com/file/d/1_DdprLXuo_EcSl6s2VaeP93Yt6H83xfL/view?usp=drivesdk' target='_blank'>Crystal Lakes </a>,Community,Larimer,CO,2008,0,0,82.34,Colorado Forest Atlas
Curry,<a href='https://drive.google.com/file/d/1U_YNmgcF0wLIhVY1SAJWQVDkzEGcl5R-/view?usp=drivesdk' target='_blank'>Curry </a>,County,Curry,OR,2008,0,0,4233.27,Oregon Spatial Data Library
Custer,<a href='https://drive.google.com/file/d/1VlVyvPsFll3iNy4Bl_1O-tdXnh2hSsSb/view?usp=drivesdk' target='_blank'>Custer </a>,County,Custer,ID,2008,1,0,12790.6,"US Census Bureau, 2018 Cartographic Boundary Files"
DeBaca,<a href='https://drive.google.com/file/d/1bbIgdXiHa5cCGLMzm58rNhTA3q_ij6UX/view?usp=drivesdk' target='_blank'>DeBaca </a>,County,DeBaca,NM,2008,0,1,6045.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Douglas,<a href='https://drive.google.com/file/d/1CEchATdxPyiyme9fBkxtI-sSYQ_715Qe/view?usp=drivesdk' target='_blank'>Douglas </a>,County,Douglas,NV,2008,1,1,13130.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Eddy,<a href='https://drive.google.com/file/d/1uA_CW_PmqAFIGCNp1d6Jw5yGsEk5Ebs-/view?usp=drivesdk' target='_blank'>Eddy </a>,County,Eddy,NM,2008,0,1,10873.23,"US Census Bureau, 2018 Cartographic Boundary Files"
Elko,<a href='https://drive.google.com/file/d/13Aic4-LAZnurBQZB9xS3niJCGh9LJu5W/view?usp=drivesdk' target='_blank'>Elko </a>,County,Elko,NV,2008,1,1,44554.54,"US Census Bureau, 2018 Cartographic Boundary Files"
Eureka,<a href='https://drive.google.com/file/d/1cJU4CqmKqR4kVICAH7K7JOU_bBhjAoUn/view?usp=drivesdk' target='_blank'>Eureka </a>,County,Eureka,NV,2008,1,1,10825.81,"US Census Bureau, 2018 Cartographic Boundary Files"
Foothills,<a href='https://drive.google.com/file/d/1kn1hxD5_92RsI6zTnRMdmtDE_Yub4DqN/view?usp=drivesdk' target='_blank'>Foothills </a>,Fire Protection District,Jefferson,CO,2008,0,1,65.31,Colorado Forest Atlas
Fremont,<a href='https://drive.google.com/file/d/1ygInY2NvszL7byVVxGh9NbBN9JNPbEfV/view?usp=drivesdk' target='_blank'>Fremont </a>,County,Fremont,CO,2008,0,0,4910.64,Colorado Forest Atlas
Game Trail,<a href='https://drive.google.com/file/d/13xaiqSjDTwdqGpPRE1S9mHh8Qxde8stR/view?usp=drivesdk' target='_blank'>Game Trail </a>,Community,Chaffee,CO,2008,0,0,7.53,Colorado Forest Atlas
Garfield,<a href='https://drive.google.com/file/d/1mOTqJRz1Ar0_6vPAvDyg7Y9TRhhEgY8l/view?usp=drivesdk' target='_blank'>Garfield </a>,County,Garfield,WA,2008,0,1,1860.43,"US Census Bureau, 2018 Cartographic Boundary Files"
Genesee,<a href='https://drive.google.com/file/d/16GnfzZV96SWA0Wik0Oaj6esdCLfOn0I3/view?usp=drivesdk' target='_blank'>Genesee </a>,Fire Protection District,Jefferson,CO,2008,0,1,10.39,Colorado Forest Atlas
Genesee,<a href='https://drive.google.com/file/d/1-pggdfLdnSCFIZXvgsdk_2tRq7tc6XK1/view?usp=drivesdk' target='_blank'>Genesee </a>,Fire Protection District,Jefferson,CO,2021,1,1,10.39,Colorado Forest Atlas
Gold Basin Subdivision,<a href='https://drive.google.com/file/d/1LfjPFXBDaSadY6f7bar8Lzdja7IfMU2z/view?usp=drivesdk' target='_blank'>Gold Basin Subdivision </a>,Community,Saguache,CO,2008,0,0,49.18,Colorado Forest Atlas
Golden Valley,<a href='https://drive.google.com/file/d/1B-u3J7kLuqEla9cw5B1CdrdjUo3eRJY-/view?usp=drivesdk' target='_blank'>Golden Valley </a>,County,Golden Valley,MT,2008,0,1,3044.26,"US Census Bureau, 2018 Cartographic Boundary Files"
Greater Stevenson,<a href='https://drive.google.com/file/d/18jBOnHjwx1bMg-AL9b4VKWAa1xjMsWCL/view?usp=drivesdk' target='_blank'>Greater Stevenson </a>,Community,Skamania,WA,2008,0,0,158.04,CWPP
Happy Canyon,<a href='https://drive.google.com/file/d/1HL05m_VEYVTvGRR0GVZpHe0VC5OUjtHC/view?usp=drivesdk' target='_blank'>Happy Canyon </a>,Community,Douglas,CO,2008,0,0,2.09,Colorado Forest Atlas
Harding,<a href='https://drive.google.com/file/d/1ItlIZaESgj-vRc_O3EOwS4xVzVq-ivNW/view?usp=drivesdk' target='_blank'>Harding </a>,County,Harding,NM,2008,0,1,5506.15,"US Census Bureau, 2018 Cartographic Boundary Files"
Hermit Park Open Space,<a href='https://drive.google.com/file/d/16CB6o01GCBkvARt3ecookobV3JTd0zqw/view?usp=drivesdk' target='_blank'>Hermit Park Open Space </a>,Community,Larimer,CO,2008,0,0,48.2,Colorado Forest Atlas
Hidden Village,<a href='https://drive.google.com/file/d/1qGGkVWmC6f5spYrDqDLV6GnSizbUOr_E/view?usp=drivesdk' target='_blank'>Hidden Village </a>,Community,Douglas,CO,2008,0,1,3.84,Colorado Forest Atlas
Idaho,<a href='https://drive.google.com/file/d/1LiMsgVFK405vYDmjrnFZltm41ST40aOe/view?usp=drivesdk' target='_blank'>Idaho </a>,County,Idaho,ID,2008,1,0,22021.83,"US Census Bureau, 2018 Cartographic Boundary Files"
Kootenai,<a href='https://drive.google.com/file/d/1QuH7k8U2NQu0S3I7GyHTgzJJQzMw8T7V/view?usp=drivesdk' target='_blank'>Kootenai</a>,County,Kootenai,ID,2008,1,0,3391.08,"US Census Bureau, 2018 Cartographic Boundary Files"
Lake Hodges,<a href='https://drive.google.com/file/d/1MioFxW5n3bfszdzODX-nXGCjQALCs_H3/view?usp=drivesdk' target='_blank'>Lake Hodges </a>,Community,San Diego,CA,2008,0,0,39.05,CWPP
Lander,<a href='https://drive.google.com/file/d/1MrVKlRI65FUSJzjpfeBG8Dro9mWkhuTe/view?usp=drivesdk' target='_blank'>Lander </a>,County,Lander,NV,2008,1,1,14295.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Lea,<a href='https://drive.google.com/file/d/1tbN3tKTcrwl7E2WhAemhkR1YG-9cXUui/view?usp=drivesdk' target='_blank'>Lea </a>,County,Lea,NM,2008,0,0,11382.29,"US Census Bureau, 2018 Cartographic Boundary Files"
Lincoln,<a href='https://drive.google.com/file/d/1gJGIBjsbaqAyjJkdYiUMv8gIzJ-IlALO/view?usp=drivesdk' target='_blank'>Lincoln </a>,County,Lincoln,NV,2008,1,1,3123.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Little White Salmon Drainage,<a href='https://drive.google.com/file/d/1IfhL0pIDTt7JMe0iQJn1MmGP1xP4aSWK/view?usp=drivesdk' target='_blank'>Little White Salmon Drainage </a>,Community,Skamania,WA,2008,0,0,242.81,CWPP
Madera,<a href='https://drive.google.com/file/d/1Ovv4VTJ4jU6nij2_xpFx68EEmSJpp9Fn/view?usp=drivesdk' target='_blank'>Madera </a>,County,Madera,CA,2008,0,0,5577.06,"US Census Bureau, 2018 Cartographic Boundary Files"
Magic Sky Ranch,<a href='https://drive.google.com/file/d/13hNlGOMd3ETOeeJ2Jyg_SVGDZ_9NFfwz/view?usp=drivesdk' target='_blank'>Magic Sky Ranch </a>,Community,Larimer,CO,2008,0,0,31.88,Colorado Forest Atlas
Marion,<a href='https://drive.google.com/file/d/1RFNO8xig0lsO5g_41C1iv92iD4pZZKuk/view?usp=drivesdk' target='_blank'>Marion </a>,County,Marion,OR,2008,0,0,3095.52,Oregon Spatial Data Library
Maysville North Fork,<a href='https://drive.google.com/file/d/1rw_ukZSxXKEHx8uYrDrgB__Z4iuqv2AU/view?usp=drivesdk' target='_blank'>Maysville North Fork </a>,Community,Chaffee,CO,2008,0,0,1.66,Colorado Forest Atlas
Modoc,<a href='https://drive.google.com/file/d/1VkoWwMx-XWJVLGru9zqE7pPJvrKVEbms/view?usp=drivesdk' target='_blank'>Modoc </a>,County,Modoc,CA,2008,1,0,10886.39,"US Census Bureau, 2018 Cartographic Boundary Files"
Mohave,<a href='https://drive.google.com/file/d/1i5StzaaC2LPJxCcpCgBTmKsCC3fB5sZu/view?usp=drivesdk' target='_blank'>Mohave</a>,County,Mohave,AZ,2008,0,1,34862.5,"US Census Bureau, 2018 Cartographic Boundary Files"
Monitor-Cashmere-Dryden-Peshastin,<a href='https://drive.google.com/file/d/18N-wI2yNnJ452HFd61VkfIgT4QGW7uHO/view?usp=drivesdk' target='_blank'>Monitor-Cashmere-Dryden-Peshastin</a>,Community,Chelan,WA,2008,0,0,311.54,CWPP
Mt Baldy,<a href='https://drive.google.com/file/d/1namIRgZeU3nphmBJsHLPRjASB9Ouss68/view?usp=drivesdk' target='_blank'>Mt Baldy </a>,Community,San Bernardino,CA,2008,0,0,160.04,USGS Quadrangle Maps
Nevada,<a href='https://drive.google.com/file/d/1dFiIoWAJZ4foSkBsJWLcyUT2HgD2wQi-/view?usp=drivesdk' target='_blank'>Nevada </a>,County,Nevada,CA,2008,1,0,2522.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Northeast San Diego,<a href='https://drive.google.com/file/d/1dsb-w6JIiud2YPBJMtF1eZqhOoyOTEji/view?usp=drivesdk' target='_blank'>Northeast San Diego </a>,County,San Diego,CA,2008,0,0,631.92,CWPP
Nye,<a href='https://drive.google.com/file/d/1vBQ1M2lu7fwnasdB2LZeo48SV_J1pNwT/view?usp=drivesdk' target='_blank'>Nye </a>,County,Nye,NV,2008,1,1,47028.7,"US Census Bureau, 2018 Cartographic Boundary Files"
Palmer Lake,<a href='https://drive.google.com/file/d/149bCA1MpqzmS7MxF-laDGAeKlWBLVsQE/view?usp=drivesdk' target='_blank'>Palmer Lake </a>,Community,El Paso,CO,2008,0,1,6.08,Colorado Forest Atlas
Park,<a href='https://drive.google.com/file/d/1e7i7j5BkAmCBDuTLYXozT8zfSlVQlwkk/view?usp=drivesdk' target='_blank'>Park </a>,County,Park,WY,2008,0,1,5726.05,"US Census Bureau, 2018 Cartographic Boundary Files"
Pinewood Reservoir,<a href='https://drive.google.com/file/d/1Qn-qcOKr81D3DV5KKamF3nMSIEv4k_UI/view?usp=drivesdk' target='_blank'>Pinewood Reservoir </a>,Community,Larimer,CO,2008,0,0,18.82,Colorado Forest Atlas
Poudre Canyon Poudre Park,<a href='https://drive.google.com/file/d/1PRz28E7BYAjqXKkTvQ8DGaNKuUyR2AnS/view?usp=drivesdk' target='_blank'>Poudre Canyon Poudre Park </a>,Fire Protection District,Larimer,CO,2008,0,0,145.1,Colorado Forest Atlas
Poudre Canyon Spencer Heights,<a href='https://drive.google.com/file/d/1yGlD5zfywddhLdz403m_COfdcNj3OXFp/view?usp=drivesdk' target='_blank'>Poudre Canyon Spencer Heights </a>,Fire Protection District,Larimer,CO,2008,0,0,174.48,Colorado Forest Atlas
Quay,<a href='https://drive.google.com/file/d/1wBhlErE9y2LU9z33MXurk0v0b7QAua40/view?usp=drivesdk' target='_blank'>Quay </a>,County,Quay,NM,2008,0,1,7462.11,"US Census Bureau, 2018 Cartographic Boundary Files"
Redlands Glade Park with Colorado National Monument,<a href='https://drive.google.com/file/d/1H7_6krpINGwX8Lqad5tozL5HllX0nMUQ/view?usp=drivesdk' target='_blank'>Redlands Glade Park with Colorado National Monument </a>,Community,Mesa,CO,2008,0,0,17.09,CWPP
